customer_id,articles
73a338d51750dfe55311ea66c60d8b5fdf5ddac7117df4fbab5366c5f856cecf,[891591003]
73eb352f4703ad8dfd93736884f24d56744ba4d9c2fd09ac440b18aaefe92e40,[827968001]
73f126acf3e7fdb88bd19375982d6cfa3442aa87807294e11d608c055bd7fb58,"[778285001 864415002 894756001 399087021 811925009 399087010 820476001
 778285003]"
7415e2703854ca0a28d1528ff1db5a26359a29730201029db13ded29fcd0d1aa,"[739590041 519930001 557599022 832114002 924083001 811835005 924083002
 470789030 776237006]"
7421a7f8330aab244aedbf3dd3a61bf7b6f757339e8656fe00a0bd455c370b66,[775382001 775382001]
7424208054e07c653adf5cb226a75de0e5fa91d2154a23d62ddaf0baec4ca73e,[699755071 738713035]
74872aff145ea4673f6de937c72287ed562325040ebf5dfaac0fd85c7864ba80,[867966010 867966010 867969003 867969003]
759446aba10a858456c5da5fedabc5f9105fc07e011cdb1b7abf3260a0e54cab,[751592001 874891002 794575019]
75dc6506164dd85a371f9a6532be32e0901d4759b36a5fef65d50ee00fb5877f,[744394002 854338008 698283001 739590027]
75f3e16d1c2c5bbf616d9e462fd7be0e56ca80973d704b76b91c1573e0e75606,[554450001 554450046]
7621aab84ad8e080f92448d61598e71303a971a68434a28fd126a03c1ba94805,[867994002 631536027]
7646ab693b449651503b79fbf6a3ce8e9d2daa187bf52d28bf5517afecb7f9f7,"[942955004 865691001 865699001 766402012 877961004 877961024 877961024
 877961016 807244002 865595003 708740021 649439001]"
769fa54ea226193fdf17908584b5e0ea9f2a9105b9bd227e0b96d6d8b59bbd7b,[803685001 748566027 852584017 849886012 754238015]
76ea1554154b21436d313680d88ca9a8ca46f6c3aa0cfff0090fba2a9247a000,[562245046 913048001 751471043 865086004]
7716bf3ccec8432db431f486670e130a245f4e86cd512993909af12ca0deaacb,[810169017 876578002 810170018 834063001 630762001]
7717ad1e0fb27a0e626c8336681b3e2c576f52b9056a4dfc791e67cbde02842d,[885434003]
77f30b146d5fa41feb8dc2aae289f535009a5ae85c2020d6b785cd33c198dcaf,[754238019]
781dc175522bbcab6c0b85e45d3eb3d0f0bd298924b7812afd814e581de2ac71,[717490010 717490008]
782c63e926f84276d8a55cb04a5a9e8457b6c5b898b551752a2cfa2fca32a0f8,[796454005 911918005 534164001 907321001]
788908f069a509ab6478dba57ae4d9154bd160956a6ff301418735125314af1a,[852488002 534164001 534164033 534164035]
78983b7e319bc442a70d550000fc854e092da04cd8ced699e1a97b9ec2641d64,[890079003 739659036 870528011 876196004 895010001]
